Truth(English),Truth (Telugu),Predicted
chase,చేస్,చేస్
bhuummida,భూమ్మీద,భూమ్మీద
kottukoovadaaniki,కొట్టుకోవడానికి,కొట్టుకోవడానికి
suprabhaata,సుప్రభాత,సుప్రభాత
nootan,నూతన్,నూతన్
kotipalli,కోటిపల్లి,కోటిపల్లి
pattanhaaniki,పట్టణానికి,పట్టణానికి
galadu,గలడు,గలడు
pravesinchadaniki,ప్రవేశించడానికి,ప్రవేశించడానికి
raktamunu,రక్తమును,రక్తమును
shankdhar,శంక్ధర్,శంక్ధర్
fell,ఫెల్,ఫెల్
adharmamu,అధర్మము,అధర్మము
syngene,సింజిన్,సింజిన్
abhimaanullo,అభిమానుల్లో,అభిమానుల్లో
amkitamai,అంకితమై,అంకితమై
vaagvaadaaniki,వాగ్వాదానికి,వాగ్వాదానికి
lv,ఎల్వీ,లల్వీ
magguthunna,మగ్గుతున్న,మగ్గుతున్న
sherbet,షర్బత్,షర్బత్
thayaaniidhaarulu,తయారీదారులు,తయారీదారులు
gonaagannaa,గొనాగన్నా,గొనాగన్నా
bharatiyulato,భారతీయులతో,భారతీయులతో
teesukellindani,తీసుకెళ్ళిందని,తీసుకెళ్ళిందని
cheeyavalsindigaa,చేయవలసిందిగా,చేయవలసిందిగా
charchilalo,చర్చిలలో,చర్చిలలో
rishikeshi,రిషికేషి,రిషికేషి
telipae,తెలిపే,తెలిపే
lalo,లలో,లలో
aadhvaryamuloo,ఆధ్వర్యములో,ఆధ్వర్యములో
raavaalsi,రావాల్సి,రావాల్సి
dattamgaa,దిట్టంగా,దటట్టంగా
pikka,పిక్క,పిక్క
prashninchalekapoyindi,ప్రశ్నించలేకపోయింది,ప్రశ్నించలేకపోయింది
malwan,మాల్వన్,మాల్వన్
vyatyaasaalu,వ్యత్యాసాలు,వ్యత్యాసాలు
awasthi,అవస్థి,అవస్థి
teecharugaa,టీచరుగా,టీచరుగా
delhini,ఢిల్లీని,డిల్లీని
saasar,సాసర్,సాసర్
anipinchi,అనిపించి,అనిపించి
sobhanu,శోభను,శోభను
aana,అణా,ఆణా
jeense,జీన్స్,జీన్స్
niraakarinchadamto,నిరాకరించడంతో,నిరాకరించడంతో
dyooyasku,డ్యూయస్కు,డ్యూయస్కు
klein,క్లీన్,క్లీన్
roadlu,రోడ్లు,రోడ్లు
niyamangaa,నియమంగా,నియమంగా
kashaayaalanu,కషాయాలను,కషాయాలను
visaka,విశాఖ,విసకక
nayeem,నయీం,నాయీ
narala,నరల,నాాలల
vallabhai,వల్లభాయై,వాలలలభహైై
rakshana,రక్షణ,రా్షరనన
vaarthala,వార్తల,వార్తల
tirigindanipinchindi,తిరిగిందనిపించింది,తిరిగిందనిపింంంంది
lakshanhamulanu,లక్షణములను,లకకషరణమమలలుు
shstrachikitsalo,శస్త్రచికిత్సలో,శెస్ట్రా్చిిి్్్లల
aajaadh,ఆజాద్,ఆహాధ్
pravaesinchina,ప్రవేశించిన,ప్రవాలించిని
suuchinchae,సూచించే,సూచించా
cheyunu,చేయును,చేయును
aathmatho,ఆత్మతో,ఆత్మతోో
kshetranni,క్షేత్రాన్ని,క్షెట్త్రన్ని
inta,ఇంత,ఇంట
haute,ఔట్,హాతీ
vidyaardhula,విద్యార్ధుల,విద్యార్ధ్ధుల
kakatiyula,కాకతీయుల,కకకటియయలల
shivunipai,శివునిపై,శివునిపైవై
pravesinchadu,ప్రవేశించాడు,ప్రవేశింంచడడు
ramanamaharshula,రమణమహర్షుల,రామనమమహరరరరరలలల
shrivas,శ్రీవాస్,శ్రివాసస
chelleymma,చెల్లెమ్మ,చెల్లేయ్మ్మమమ
teravaalanukuntunnaarani,తెరవాలనుకుంటున్నారని,తెరవాలనోకుకుున్నననన
keiith,కీత్,కీయి
mottukundi,మొత్తుకుంది,మొట్టుకుకకంది
chetan,చేతన్,చేటం
poojinchadam,పూజించడం,పూజించడంం
face,ఫేస్,ఫాస్
penampie,పెనంపై,పెనంపి
badhyatlanu,బాధ్యతలను,బాధ్యత్లాను
yadala,యడల,యాలల
konasaagutondani,కొనసాగుతోందని,కోనససాాుుతోందని
cals,కాల్స్,కాల్స్
wolf,వుల్ఫ్,వోల్్్
mamdulanu,మందులను,మందులముు
poorita,పూరిత,పూరిత
paerlaku,పేర్లకు,పైర్లకు
sundar,సుందర్,సుందర్
raheembhaasha,రహీంభాష,రాహీంభాభా
pilar,పిల్లర్,పిలార
pillanagroovi,పిల్లనగ్రోవి,పిల్లనగగ్రోోి
urbana,అర్భన,ఉర్బనన
roanoke,రోనోక్,రూనోతకక
vikalangulu,వికలాంగులు,వికలలంగులలల
financiers,ఫైనాన్షియర్స్,ఫినాపకిరర్్
ennikanu,ఎన్నికను,ఎన్నికను
shahjahanpur,షాజహాన్పూర్,శాజజహనన్పపర
poortunnaaru,పోతున్నారు,పోర్తున్న్నారు
woodbury,వుడ్బురీ,వూద్పుర్య్
manduni,మందుని,మందుని
pramaanhamulu,ప్రమాణములు,ప్రమాధమమముల
moosiveyaalani,మూసివేయాలని,మూసివేయాలనిని
vyaktulato,వ్యక్తులతో,వ్యకకకుుులతో
sevalandincharu,సేవలందించారు,సివలలందించరనుర
jind,జిండ్,జిండ్
rakalloo,రకాల్లో,రాకల్లలో
paaradarshakata,పారదర్శకత,పారదర్షష
tiraskarinchalekapovachhu,తిరస్కరించలేకపోవచ్చు,తిరస్కాించచచచేేచుచచ
phraiday,ఫ్రైడే,ప్రైదాయ
daariki,దారికి,దారికి
pennington,పెన్నింగ్టన్,పెన్నింగ్టిన్
chaerukunna,చేరుకున్న,చేరుకున్న్
alayamlo,ఆలయంలో,ఆలయంలో
kuulindhi,కూలింది,కూలింది
miami,మియామీ,మియామీ
paastha,పాస్తా,పాస్తా
pittasaya,పిత్తాశయ,పిత్తాశయ
sowbhari,సౌభరి,సౌభరి
chhatarpur,ఛతర్పూర్,చయయార్పుర్
linde,లిందే,లిందే
medina,మెడీనా,మెడీనా
blue,బ్లు,బ్లు
maarite,మారితే,మారితే
russian,రష్యన్,రా్యన్
oohinchukogamaa,ఊహించుకోగమా,ఊహించుకోగమా
nizamat,నిజామత్,నిజామత్
chestunnatlenani,చేస్తున్నట్లేనని,చేస్తున్నట్లేనని
aranhyamloe,అరణ్యంలో,అరణ్యంలో
pempupai,పెంపుపై,పెంపుపై
vishvaasaanni,విశ్వాసాన్ని,విశ్వాసాన్ని
engines,ఇంజిన్స్,ఏంజిన్స్
maarchataniki,మార్చటానికి,మార్చటానికి
unchukunnaavu,ఉంచుకున్నావు,ఉంచుకున్నావు
ghatanapai,ఘటనపై,ఘటనపై
asamarthata,అసమర్థత,అసమర్థత
patan,పఠాన్,పతాన్
gravita,గ్రవిట,గ్రవిట
harmonula,హార్మోనుల,హార్మోనుల
digendhuku,దిగేందుకు,దిగేందుకు
dilli,డిల్లీ,డిల్లీ
jaateeyoodyamaaniki,జాతీయోద్యమానికి,జాతీయోద్యమానికి
raashtraallonoo,రాష్ట్రాల్లోనూ,రాష్ట్రాల్లోనూ
kollam,కొల్లం,కొల్లం
shelli,షెల్లీ,షెల్లీ
sheshayya,శేషయ్య,శేషయ్య
sons,సన్స్,సన్స్
bullhead,బుల్హెడ్,బుల్హెడ్
gond,గొండ్,గొండ్
dhanyamunu,ధాన్యమును,ధాన్యమును
arena,అరిన,అరిన
akkadikakkade,అక్కడికక్కడే,అక్కడికక్కడే
sannaddham,సన్నద్ధం,సన్నద్ధం
gentry,గెంట్రీ,గెంట్రీ
saadhyamavutaayannaaru,సాధ్యమవుతాయన్నారు,సాధ్యమవుతాయన్నారు
abhipraayapadutunnattu,అభిప్రాయపడుతున్నట్టు,అభిప్రాయపడుతున్నట్టు
vechchinchalekapovachchu,వెచ్చించలేకపోవచ్చు,వెచ్చించలేకపోవచ్చు
paaramparya,పారంపర్య,పారంపర్య
patayae,పతయే,పతయే
thaagindhi,తాగింది,తాగింది
prajaachaitanyamlo,ప్రజాచైతన్యంలో,ప్రజాచైతన్యంలో
rakthahinatha,రక్తహినత,రక్తహినత
khaidiga,ఖైదీగా,ఖైదీగా
dittamga,దిట్టంగా,దిట్టంగా
upayoginchukunnaamani,ఉపయోగించుకున్నామని,ఉపయోగించుకున్నామని
raichur,రాయ్చూర్,రాయ్చూర్
operative,ఆపరేటివ్,ఊపరేటివ్
vamsiiyulu,వంశీయులు,వంశీయులు
longmont,లాంగ్మొంట్,లాంగ్మొంట్
pattanaalaku,పట్టణాలకు,పట్టణాలకు
konukkuntunnaaraa,కొనుక్కుంటున్నారా,కొనుక్కుంటున్నారా
undanundi,ఉండనుంది,ఉండనుంది
rakhecha,రఖేచ,రాేచ
maurya,మౌర్య,మౌర్య
mitra,మిత్ర,మిత్ర
alipore,అలీపూర్,అలీపూర్
challagaanee,చల్లగానే,చల్లగానే
puttee,పుట్టే,పుట్టే
yajamanyam,యాజమాన్యం,యాజమాన్యం
ou,ఔ,ఒ
todimelni,తొడిమెల్ని,తొడిమెల్ని
bharatiyulandariki,భారతీయులందరికీ,భారతీయులందరికీ
taginanni,తగినన్ని,తగినన్ని
bhaagaswaamulu,భాగస్వాములు,భాగస్వాములు
vysya,వైస్య,విస్య
yerpadaka,ఏర్పడక,యర్పడక
cheeyinchatam,చేయించటం,చేయించటం
punarnirmaanha,పునర్నిర్మాణ,పునర్నిర్మాణ
mahaanubhaavudu,మహానుభావుడు,మహానుభావుడు
pukto,పుక్తో,పుక్తో
cookie,కుకీ,కూకీ
bhaagaalathoo,భాగాలతో,భాగాలతో
choppinchukunnaadu,చొప్పించుకున్నాడు,చొప్పించుకున్నాడు
varanasiloo,వారణాసిలో,వారణాసిలో
prishuddhamaina,పరిశుద్ధమైన,పరిశుద్ధమైన
aathma,ఆత్మ,ఆత్మ
satyaagrahanni,సత్యాగ్రహాన్ని,సత్యాగ్రహాన్ని
raalla,రాళ్ళ,రాళ్ళ
horettipotunnaaru,హోరెత్తిపోతున్నారు,హోరెత్తిపోతున్నారు
kattimchi,కట్టించి,కట్టించి
nammika,నమ్మిక,నమ్మిక
vyavaharinchaevaru,వ్యవహరించేవారు,వ్యవహరించేవారు
gajaraaju,గజరాజు,గజరాజు
wylie,వయ్లీ,వయ్లీ
ruubber,రబ్బర్,రు్బర్
nirvaakam,నిర్వాకం,నిర్వాకం
organisation,ఆర్గనైజేషన్,ఆర్గనైజేషన్
samdharshni,సమదర్శిని,సైదర్శిని
damoh,దమోహ్,దమోహ్
nowgong,నౌగాంగ్,నౌగాంగ్
paruchuuri,పరుచూరి,పరుచూరి
imtaa,ఇంతా,ఇంతా
chakma,చక్మా,చక్మా
daulatabad,దౌల్తాబాద్,దౌల్తాబాద్
rudruni,రుద్రుని,రుద్రుని
ajirnamu,అజీర్ణము,అజీర్ణము
perigipoyinappatiki,పెరిగిపోయినప్పటికీ,పెరిగిపోయినప్పటికీ
adhaulia,అధౌలియా,అధౌలియా
daadi,దాడి,దాడి
abba,అబ్బా,అబ్బా
icici,ఐసీఐసీఐ,ఐసీసీ
varnhimchaemduku,వర్ణించేందుకు,వర్ణించేందుకు
anukuntunnayi,అనుకుంటున్నాయి,అనుకుంటున్నాయి
aakaaraalu,ఆకారాలు,ఆకారాలు
global,గ్లోబల్,గ్లోబల్
kutsitapu,కుత్సితపు,కుత్సితపు
patishthingaa,పటిష్ఠంగా,పటిష్థంగా
thisukogaane,తీసుకోగానే,తీసుకోగానే
innar,ఇన్నర్,ఇన్నర్
pillangrovi,పిల్లనగ్రోవి,పిల్లనగ్రోవి
ratelaku,రేట్లకు,రాట్లకు
gajanna,గజన్న,గజన్న
fatehpur,ఫతేపూర్,ఫతేపూర్
gottamu,గొట్టము,గొట్టము
sitapur,సీతాపూర్,సితాపూర్
shailajaareddi,శైలజారెడ్డి,శైలజారెడ్డి
chaeyu,చేయు,చేయు
kattinchadam,కట్టించడం,కట్టించడం
newton,న్యూటన్,న్యూటన్
ware,వేర్,వేర్
mruturaali,మృతురాలి,మృతురాలి
gharadi,గారడీ,గారడీ
jacinto,జాసింటో,జాసింటో
orugallunu,ఓరుగల్లును,ఓరుగల్లును
jeyumani,జేయుమని,జేయుమని
sastravettagaa,శాస్త్రవేత్తగా,శాస్త్రవేత్తగా
waseem,వసీం,వసీం
vaayis,వాయిస్,వాయిస్
byadmintan,బ్యాడ్మింటన్,బ్యాడ్మింటన్
anuragalu,అనురాగాలు,అనురాగాలు
suresh,సురేశ్,సురేశ్
aadeshinchadam,ఆదేశించడం,ఆదేశించడం
thaakre,ఠాక్రే,తాక్రే
johara,జొహర,జొహర
digajaarchukuntunna,దిగజార్చుకుంటున్న,దిగజార్చుకుంటున్న
avondale,అవొండలే,అవొండలే
ketaayistunnaayani,కేటాయిస్తున్నాయని,కేటాయిస్తున్నాయని
lynchburg,లంచ్బర్గ్,లంచ్పర్గ్
kree,క్రీ,క్రీ
dayaananda,దయానంద,దయానంద
vachchinappati,వచ్చినప్పటి,వచ్చినప్పటి
maathyoos,మాథ్యూస్,మాథ్యూస్
balagaalatoe,బలగాలతో,బలగాలతో
anakonda,అనకొండ,అనకొండ
sivasaenaku,శివసేనకు,శివసేనకు
dopideeki,దోపిడీకి,దోపిడీకి
sariiramloeni,శరీరంలోని,శరీరంలోని
movers,మూవర్స్,మూవర్స్
rawlani,రావ్లాని,రావ్లాని
fertilizers,ఫెర్టిలైజర్స్,ఫెర్టిలైజర్స్
zavala,జవల,జవల
abaddaala,అబద్ధాల,అబద్ధాల
maaphee,మాఫీ,మాఫీ
sarasota,సరసోట,సరసోట
securities,సెక్యూరిటీస్,సెక్యూరిటీస్
kru,కృ,కృ
gantyaada,గంట్యాడ,గంట్యాడ
anam,అనమ్,అనమ్
columbus,కొలంబస్,కొలంబస్
tannina,తన్నిన,తన్నిన
mumbailoo,ముంబైలో,ముంబైలో
prakatanalaku,ప్రకటనలకు,ప్రకటనలకు
niyojakavargaallo,నియోజకవర్గాల్లో,నియోజకవర్గాల్లో
jind,జింద్,జింద్
voice,వాయిస్,వాయిస్
ithara,ఇతర,ఇతర
ugravaadam,ఉగ్రవాదం,ఉగ్రవాదం
sastraalaku,శాస్త్రాలకు,శాస్త్రాలకు
surjery,సర్జరీ,సర్జరీ
sevagram,సేవాగ్రామ్,సేవాగ్రామ్
ghoramgaa,ఘోరంగా,ఘోరంగా
rachanala,రచనల,రచనల
machra,మాచ్రా,మాచ్రా
nimishaniki,నిమిషానికి,నిమిషానికి
sabhyatvaanni,సభ్యత్వాన్ని,సభ్యత్వాన్ని
vesara,వేసారా,వేసారా
shivamogga,శివమొగ్గ,శివమొగ్గ
breweries,బ్రూవరీస్,బ్రూవరీస్
grastula,గ్రస్తుల,గ్రస్తుల
ammee,అమ్మే,అమ్మే
vennupotu,వెన్నుపోటు,వెన్నుపోటు
bigbaas,బిగ్బాస్,బిగ్బాస్
abhimanamto,అభిమానంతో,అభిమానంతో
chaerukunnappudu,చేరుకున్నప్పుడు,చేరుకున్నప్పుడు
mikki,మిక్కీ,మిక్కీ
dominguez,డొమైన్గెజ్,దోమింగోేే
parachimdi,పరచింది,పరర్ిింది
chitrikarinchadaniki,చిత్రించడానికి,చిత్రికరించదందిి
centro,సెంట్రో,కెపటట్్్
raajyasabhalo,రాజ్యసభలో,రాజ్యసాభభలో
angelo,ఏంజెలో,అంగేలో
raamaaloni,రామాలోని,రామాలోలిని
telusukunevaariki,తెలుసుకునేవారికి,తిలుసుకుకోనేవారికిి
aanthoni,ఆంథోనీ,ఆంతోని
chestundaa,చేస్తుందా,చేస్తుందంం
randall,రండల్,రందాలలల్
coast,కోస్ట్,కాయసస్్
fullerton,ఫులర్టన్,ఫాస్లరర్తతనన
oswal,ఓస్వాల్,ఒస్వాల్
veraval,వేరావల్,వెరవాల్
bhuubhaalanu,భూభాగాలను,భూభాలాలను
churchinchalani,చర్చించాలని,చూర్చించచలలని
koraput,కోరాపుట్,కోరపపపటట
reading,రీడింగ్,రీహడింగ్
vijay,విజయ్,విజయయ
roogaalu,రోగాలు,రూగాలు
gorrelu,గొర్రెలు,గోర్రేలలల
gaya,గయ,గాయ
kalaburagi,కలబురాగి,కలలుురమగి
besy,బేసి,బెస్స్
prataaparudra,ప్రతాపరుద్ర,ప్రతాపరుడ్న్ర
kulal,కులాల్,కులాల్
sakramamgaa,సక్రమంగా,సక్రమంంగగ
paluchana,పలుచన,పాుచ్
perez,పెరెజ్,పెరెఫ్
vijayanni,విజయాన్ని,విజయమన్ని
sunteck,సుంటెక్,సుంటెక్క్
onmobile,ఆన్మొబైల్,ఒన్మోసిలిలే
zydus,జైడస్,జిదిస్స్
eppatinuncho,ఎప్పటినుంచో,ఎప్పటినననంచు
charithrathmaka,చరిత్రాత్మక,చరిత్్రత్మమక
badhinchadu,బాధించాడు,బాధించడడు
mahankmadaan,మహంక్మాడాన్,మాహంక్గడానన
cherukunnaru,చేరుకున్నారు,చెరుకుతున్నారు
ahaaramtoo,ఆహారంతో,అహారంతో
amtaloenae,అంతలోనే,అంటలోనే
iqbal,ఇక్బాల్,ఇకాలల్
islands,ఐలాండ్స్,ఇస్లాంి్్్
bommalloo,బొమ్మల్లో,బోమ్మాలలలోో
kavitalaloe,కవితలలో,కవితలలలలో
pratiphalamgaa,ప్రతిఫలంగా,ప్రతిచేచలంగా
baiswar,బైశ్వర్,బైస్కరర్
shivpuri,శివ్పురి,శివ్పురి
udayame,ఉదయమే,ఉదయమమ
himadri,హిమద్రి,హిమమ్్్
antoniyo,ఆంటోనియో,అంతోనియో
varasa,వరస,వరసస
maaradamto,మారడంతో,మారదంంతో
tanakedo,తనకేదో,తనకకడి
kootiki,కూటికి,కూటికి
khaataadaarulaku,ఖాతాదారులకు,ఖాతాదాహారులకు
thamaku,తమకు,తాగకు
chestunnaarantoo,చేస్తున్నారంటూ,చెస్తుతున్నారంతో
rakamagaanu,రకంగానూ,రాగమగాను
budge,బడ్జ్,బుద్గే
saalaajar,సాలాజర్,సాలాజరర
afreen,అఫ్రీన్,అర్రీన్
marakalu,మరకలు,మాయకలు
hazaribag,హజారీబాగ్,హాజరి్కకక
khaidilanu,ఖైదీలను,ఖైదీలను
varshaabhaava,వర్షాభావ,వర్షాభావ
tattabotunnaayani,తట్టబోతున్నాయని,తట్టబోతున్నాయని
baadhyathalanu,బాధ్యతలను,బాధ్యతలను
brake,బ్రేక్,బ్రేక్
niiluni,నీలుని,నీలుని
maarchenduku,మార్చేందుకు,మార్చేందుకు
gond,గోంద్,గోంద్
mplaku,ఎంపీలకు,ఎంపీలకు
lekkana,లెక్కన,లెక్కన
finley,ఫిన్లీ,ఫిన్లీ
oppesukuntundi,ఒప్పెసుకుంటుంది,ఒప్పెసుకుంటుంది
suraes,సురేశ్,సురేశ్
elvee,ఎల్వీ,ఎల్వీ
jarugakundaa,జరుగకుండా,జరుగకుండా
chotuku,చోటుకు,చోటుకు
thiruppaavai,తిరుప్పావై,తిరుప్పావై
inela,ఈనెల,ఇనెల
prajektulu,ప్రాజెక్టులు,ప్రాజెక్టులు
puttabotunnaadantoo,పుట్టబోతున్నాడంటూ,పుట్టబోతున్నాడంటూ
gantyada,గంట్యాడ,గంట్యాడ
sampaadinchukuntaamannade,సంపాదించుకుంటామన్నదే,సంపాదించుకుంటామన్నదే
enchukunnaru,ఎంచుకున్నారు,ఎంచుకున్నారు
addupettukunnaarani,అడ్డుపెట్టుకున్నారని,అడ్డుపెట్టుకున్నారని
durgapur,దుర్గాపూర్,దుర్గాపూర్
focus,ఫోకస్,ఫోకస్
mandamga,మందంగా,మందంగా
aibeeeslo,ఐబీఎస్లో,ఐబీఎస్లో
baharampur,బహరంపుర్,బహరంపుర్
thaati,తాటి,తాటి
livermore,లివర్మోర్,లివర్మోర్
waybhase,వేభేస్,వేరేస్
draupadithoo,ద్రౌపదితో,ద్రౌపదితో
puvvulato,పువ్వులతో,పువ్వులతో
vaijayanti,వైజయంతీ,వైజయంతీ
kanchan,కంచన్,కంచన్
durgavanshi,దుర్గావంశీ,దుర్గావంశీ
lein,లేన్,లేన్
dalton,డాల్టన్,డాల్టన్
banda,బండా,బండా
devisriprasad,దేవిశ్రీప్రసాద్,దేవిశ్రీప్రసాద్
hechdee,హెచ్డీ,హెచ్డీ
mataachaaraalanu,మతాచారాలను,మతాచారాలను
laguna,లగున,లగున
successes,సక్సెస్,సక్సెస్
gandhimathi,గాంధిమతి,గాంధిమతి
colorado,కొలరాడో,కొలరాడో
tagginchukunnanani,తగ్గించుకున్నానని,తగ్గించుకున్నానని
konasaginavaru,కొనసాగినవారు,కొనసాగినవారు
amayaka,అమాయక,అమాయక
bhagalaku,భాగాలకు,భాగాలకు
kosuuri,కోసూరి,కోసూరి
udikinchi,ఉడికించి,ఉడికించి
dal,దళ్,దళ్
khateeja,ఖతీజ,ఖతీజ
tappukunna,తప్పుకున్న,తప్పుకున్న
aaroohana,ఆరోహణ,ఆరోహణ
avataaraalu,అవతారాలు,అవతారాలు
riverside,రివర్సైడ్,రివర్సైడ్
alhambra,అల్హంబ్రా,అల్హంబ్రా
praarambhinchukobotunna,ప్రారంభించుకోబోతున్న,ప్రారంభించుకోబోతున్న
padutunnaa,పడుతున్నా,పడుతున్నా
pekku,పెక్కు,పెక్కు
ardhalanu,అర్ధాలను,అర్ధాలను
labs,ల్యాబ్స్,లాస్స్
nrutyaaniki,నృత్యానికి,న్రుత్యానికి
lakhmani,లక్మని,లాల్మనని
jaawed,జావేద్,జావేడ్
narwar,నర్వర్,నార్ఫరర
jamloki,జమ్లోకీ,జంగోకి
saharanpur,సహారన్పూర్,సహరరనపపప్్
dhanya,ధాన్య,ధన్య
ovaipu,ఓవైపు,ఒవైపు
french,ప్రెంచ్,ఫ్రెంచ్
cheyuvaaru,చేయువారు,చేయువారు
taditarulatoe,తదితరులతో,తదిటరులతో
menon,మీనన్,మెనోన్
bahishkaristuu,బహిష్కరిస్తూ,బహిష్కాాల్్్
shaeshayya,శేషయ్య,శేషయ్యయ
paalayyaadu,పాలయ్యాడు,పాలయ్యాము
kunthii,కుంతీ,కుంటిిి
negi,నెగి,నిగి
dorukutundanukunna,దొరుకుతుందనుకున్న,దిరుకుతుతుందనుుున్న
padmamuyokka,పద్మముయొక్క,పద్మముయోోకకకక
atuvantodenaa,అటువంటోడేనా,అతువంతోతినేనా
guduri,గూడూరి,గుడురిరి
livonia,లివోనియా,లివోని
padagottaaru,పడగొట్టారు,పడగొట్ట్బారు
therakundaa,తీరకుండా,తెరకకుంంం
mangaluru,మంగళూరు,మంగలురుర
whiisky,విస్కీ,చిిససస్
vein,వేన్,వీని
whisqey,విస్కీ,విసోయ
belagavi,బెళగావి,బెలగగవి
aavaginjamta,ఆవగింజంత,ఆవగిందదంత
hrudayamthoo,హృదయంతో,హృయయమంతోో
veyandantoo,వేయండంటూ,వేయందంటంో
andhramu,ఆంధ్రము,అంధ్రము
vamtakaalu,వంటకాలు,వంటకాలు
navanit,నవనీత్,నాననిి
mera,మేర,మెరా
sashyashyamalam,సస్యశ్యామలం,సష్యయశ్యయమమమ
ivi,ఈవ్,ఇవి
panghal,పంఘాల్,పంఘలలల
mosae,మోసే,మోసా
terrarism,టెర్రరిజం,తెర్రరరయ్్
ow,ఔ,ఒవ్
aagakundaa,ఆగకుండా,ఆగకుండడా
chestaam,చేస్తాం,చెస్తాం
patakaalanu,పతకాలను,పటకాలను
medisins,మెడిసిన్స్,మెడిసిన్్్
naayakulugaa,నాయకులుగా,నాయకులులుగా
hrudayam,హృదయం,హృయయమమ
biocon,బయోకొన్,బోయోసిన్
itivruttaalu,ఇతివృత్తాలు,ఇతివ్బుత్టాలు
vir,వీర్,విర్
geluchukonundani,గెలుచుకోనుందని,గెలుచుచుకోనుందని
eemadhyee,ఈమధ్యే,ఈమధధ్యయ
chebutunte,చెబుతుంటే,చేబుతుతుంటే
vaddhannaa,వద్దన్నా,వద్ధన్నా
alochanalanu,ఆలోచనలను,అలోచ్చనలను
thaleththi,తలెత్తి,తాలెట్టిిి
ticket,టికెట్,తిక్కెట్
paamditya,పాండిత్య,పాందిట్య
tolinallalo,తొలినాళ్ళలో,తోలినాల్లలో
suchinche,సూచించే,సుచివించే
shajapur,షాజాపూర్,శాజపుర్
berwyn,బెర్వీన్,బెర్స్్్్్
behar,బీహార్,బీహార్
pattukovaalani,పట్టుకోవాలని,పట్టుకోవాలని
dhaasooham,దాసోహం,ధాసోహం
giridih,గిరిదిః,గిరిదిమ
magani,మగని,మగని
mayooram,మయూరం,మయూరం
ardhamlo,అర్థంలో,అర్థంలో
nirminchukunnaa,నిర్మించుకున్నా,నిర్మించుకున్నా
ayodhya,అయోధ్య,అయోధ్య
chandigarh,చండీగఢ్,చండీగా్
chinnathanam,చిన్నతనం,చిన్నతనం
techchukuntunnaarante,తెచ్చుకుంటున్నారంటే,తెచ్చుకుంటున్నారంటే
telipinatleenani,తెలిపినట్లేనని,తెలిపినట్లేనని
cheyenne,చెయెన్నె,చెయెన్నె
shabbir,షబ్బీర్,షబ్బీర్
vaanni,వాణ్ణి,వాణ్ణి
vegas,వేగాస్,వేగాస్
para,పార,పార
lobhiraajulanu,లోభిరాజులను,లోభిరాజులను
apex,అపెక్స్,అపెక్స్
mungita,ముంగిట,ముంగిట
sariiramloeki,శరీరంలోకి,శరీరంలోకి
punzab,పంజాబ్,పంజాబ్
upayogichaalanukune,ఉపయోగించాలనుకునే,ఉపయోగించాలనుకునే
ojha,ఓజా,ఒజా
intintiki,ఇంటింటికి,ఇంటింటికి
edhigindhi,ఎదిగింది,ఎధిగింది
koppula,కొప్పుల,కొప్పుల
uchchulu,ఉచ్చులు,ఉచ్చులు
kaligenu,కలిగెను,కలిగెను
tinsukia,టిన్సుకియా,టిన్సుకియా
lohamtoe,లోహంతో,లోహంతో
chhindwara,చింద్వారా,చింద్వారా
samputalu,సంపుటాలు,సంపుటాలు
phaaloe,ఫాలో,ఫాలో
crosse,క్రాసే,క్రాసే
raayi,రాయి,రాయి
dhaivaaniki,ధైవానికి,ధైవానికి
shastrachikitsalu,శస్త్రచికిత్సలు,శస్త్రచికిత్సలు
worldwide,వరల్డ్వైడ్,వరల్డ్వైడ్
maart,మార్ట్,మార్ట్
tulshidas,తులసీదాస్,తులసీదాస్
divyabharathi,దివ్యభారతి,దివ్యభారతి
ahalya,అహల్యా,అహల్యా
hrudayamto,హృదయంతో,హృదయంతో
jay,జయ్,జయ్
tdpki,టిడిపికి,టిడిపికి
thelusukoovatam,తెలుసుకోవటం,తెలుసుకోవటం
masamalu,మాసములు,మాసములు
pakistan,పాకిస్థాన్,పాకిస్థాన్
nivaasaanni,నివాసాన్ని,నివాసాన్ని
paalapunta,పాలపుంత,పాలపుంత
sarihaddulalo,సరిహద్దులలో,సరిహద్దులలో
paaraayana,పారాయణ,పారాయణ
vahinchindi,వహించింది,వహించింది
forest,ఫారెస్ట్,ఫారెస్ట్
varasaku,వరసకు,వరసకు
cheesukuntunnaarannadi,చేసుకుంటున్నారన్నది,చేసుకుంటున్నారన్నది
slooveeniyaa,స్లోవేనియా,స్లోవేనియా
nadaf,నదాఫ్,నదాఫ్
kuuragaayalanu,కూరగాయలను,కూరగాయలను
yeyappudu,య్యేప్పుడు,య్యేప్పుడు
kanvenshan,కన్వెన్షన్,కన్వెన్షన్
suri,సూరి,సూరి
larsen,లర్సెన్,లార్స్న్
anusandaanamai,అనుసంధానమై,అనుసందానమమమమ
gelupondi,గెలుపొంది,గెలుపోందిిి
kuki,కుకీ,కుకి
baaji,బాజీ,బాజి
pol,పోల్,పోల్
sannahalu,సన్నాహాలు,సన్నహహలల
bellingham,బెల్లింగ్హామ్,బెల్లింంంంం
nirodhinchadaaniki,నిరోధించడానికి,నిరోధించదానికి
huffman,హఫ్మాన్,హార్్్ాా
control,కంట్రోల్,కాపటట్్్ోల
